2020-04-23 10:15:36.179 [restartedMain] INFO  com.msr.oss.OssApplication - Starting OssApplication on appledeMacBook-Air.local with PID 1337 (/Users/apple/Documents/IdeaProjects/msr-parent/service/service-oss/target/classes started by apple in /Users/apple/Documents/IdeaProjects/msr-parent)
2020-04-23 10:15:36.206 [restartedMain] INFO  com.msr.oss.OssApplication - The following profiles are active: dev
2020-04-23 10:15:36.374 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.jar referenced one or more files that do not exist: file:/Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-api.jar,file:/Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-impl/2.2.3-1/activation.jar,file:/Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-impl/2.2.3-1/jsr173_1.0_api.jar,file:/Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb1-impl.jar
2020-04-23 10:15:36.375 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-core-2.3.0.1.jar referenced one or more files that do not exist: file:/Users/apple/Documents/mavenRep/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-api.jar
2020-04-23 10:15:36.376 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-23 10:15:36.377 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-04-23 10:15:37.805 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-23 10:15:37.810 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-23 10:15:37.853 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 repository interfaces.
2020-04-23 10:15:38.917 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8002 (http)
2020-04-23 10:15:38.931 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2020-04-23 10:15:38.933 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-23 10:15:38.934 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-04-23 10:15:39.088 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
