2020-04-23 15:50:39.792 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8120"]
2020-04-23 15:50:39.902 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8120 (http) with context path ''
2020-04-23 15:50:39.921 [restartedMain] INFO  com.msr.sysuser.SysuserApplication - Started SysuserApplication in 8.794 seconds (JVM running for 12.363)
2020-04-23 15:51:58.372 [http-nio-8120-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-23 15:51:58.375 [http-nio-8120-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-23 15:51:58.458 [http-nio-8120-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 82 ms
2020-04-23 16:52:19.954 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-23 17:38:43.498 [restartedMain] INFO  com.msr.sysuser.SysuserApplication - Starting SysuserApplication on appledeMacBook-Air.local with PID 4267 (/Users/apple/Documents/IdeaProjects/msr-parent/sysuser/target/classes started by apple in /Users/apple/Documents/IdeaProjects/msr-parent)
2020-04-23 17:38:43.507 [restartedMain] INFO  com.msr.sysuser.SysuserApplication - The following profiles are active: dev
2020-04-23 17:38:43.724 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-23 17:38:43.725 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
